School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
SUCCESS ACADEMY CS - BENSONHURST,SUCCESS ACADEMY CS - BENSONHU,KINGS,640,100.0%,100.0%,0,0,0.0%,100.0%,0,640,640,0,60.1%,7.6%,9.0%,22.1%,0.2%,0.9%
SUCCESS ACADEMY CS - BERGEN BEACH,SUCCESS ACADEMY CS - BERGEN,KINGS,937,100.0%,100.0%,0,0,0.1%,100.0%,1,937,936,0,10.0%,74.2%,6.7%,5.5%,0.9%,2.6%
SUCCESS ACADEMY CS - BRONX 4,SUCCESS ACADEMY CS - BRONX 4,BRONX,594,100.0%,100.0%,0,0,0.3%,100.0%,2,594,592,0,3.3%,41.3%,48.7%,3.6%,2.3%,0.8%
SUCCESS ACADEMY CS - ROSEDALE,SUCCESS ACADEMY CS - ROSEDALE,QUEENS,746,100.0%,100.0%,0,0,0.7%,100.0%,5,746,741,0,1.0%,87.3%,6.9%,2.2%,1.0%,1.4%
SUCCESS ACADEMY CS - SPRINGFIELD,SUCCESS ACADEMY CS - SPRINGFI,QUEENS,924,100.0%,100.0%,0,0,0.2%,100.0%,2,924,922,0,0.0%,88.7%,5.1%,2.2%,1.6%,2.5%
SUCCESS ACADEMY CS - WASHINGTON HGTS,SUCCESS ACADEMY CS - WASHINGT,NEW YORK,628,100.0%,100.0%,0,0,1.1%,100.0%,7,628,621,0,4.6%,13.6%,78.8%,1.7%,0.3%,0.9%
SUCCESS ACADEMY CS-BED STUY 3,SUCCESS ACADEMY CS-BED STUY 3,KINGS,158,100.0%,100.0%,0,0,1.9%,100.0%,3,158,155,0,12.7%,52.5%,27.8%,3.2%,1.3%,2.5%
SUCCESS ACADEMY CS-BUSHWICK,SUCCESS ACADEMY CS-BUSHWICK,KINGS,515,100.0%,100.0%,0,0,1.4%,100.0%,7,515,508,0,5.2%,17.7%,73.9%,1.0%,1.0%,1.3%
SUCCESS ACADEMY CS-FAR ROCKAWAY,SUCCESS ACADEMY CS-FAR ROCKAW,QUEENS,586,100.0%,100.0%,0,0,0.3%,100.0%,2,586,584,0,1.5%,74.5%,20.1%,1.3%,1.2%,1.5%
SUCCESS ACADEMY CS-FLATBUSH,SUCCESS ACADEMY CS-FLATBUSH,KINGS,585,100.0%,100.0%,0,0,1.5%,100.0%,9,585,576,0,4.1%,84.9%,7.1%,1.0%,0.7%,2.2%
SUCCESS ACADEMY CS-SOUTH JAMAICA,SUCCESS ACADEMY CS-S JAMAICA,QUEENS,431,100.0%,100.0%,0,0,0.5%,100.0%,2,431,429,0,2.5%,56.9%,14.6%,18.4%,6.7%,0.9%
SUCCESS ACAD CHARTER SCH-UPPER WEST,SUCCESS ACADEMY -UPPER WEST,NEW YORK,897,100.0%,100.0%,0,0,0.0%,100.0%,0,897,897,0,22.5%,19.4%,37.8%,12.2%,4.6%,3.4%
SUCCESS ACADEMY CHARTER-BED STUY 1,SUCCESS ACADEMY-BED STUY 1,KINGS,745,100.0%,100.0%,0,0,0.4%,100.0%,3,745,742,0,2.8%,63.3%,28.8%,2.8%,0.9%,1.5%
SUCCESS ACADEMY CHARTER-BRONX 1,SUCCESS ACADEMY-BRONX 1,BRONX,599,100.0%,100.0%,0,0,0.8%,100.0%,5,599,594,0,1.1%,53.0%,40.7%,2.2%,2.2%,0.8%
SUCCESS ACADEMY CHARTER-HUDSON YARDS,SUCCESS ACADEMY-HUDSON YARDS,NEW YORK,406,100.0%,100.0%,0,0,1.5%,100.0%,6,406,400,0,17.9%,22.0%,39.1%,17.9%,0.2%,2.9%
SUCCESS ACAD CHARTER SCH-FORT GREENE,SUCCESS ACAD-FORT GREENE,KINGS,224,100.0%,100.0%,0,0,1.8%,100.0%,4,224,220,0,5.3%,62.6%,29.1%,1.3%,0.9%,0.9%
SUCCESS ACAD CHARTER SCH-HARLEM 2,SUCCESS ACAD-HARLEM  2,NEW YORK,690,100.0%,100.0%,0,0,2.8%,100.0%,19,690,671,0,1.4%,59.5%,36.4%,1.0%,0.6%,1.0%
SUCCESS ACADEMY CHARTER-HARLEM 1,SUCCESS ACAD-HARLEM 1,NEW YORK,1346,100.0%,100.0%,0,0,0.2%,100.0%,3,1346,1343,0,2.8%,62.3%,27.7%,1.1%,5.1%,0.9%
SUCCESS ACAD CHARTER SCH-HARLEM 3,SUCCESS ACAD-HARLEM 3,NEW YORK,1221,100.0%,100.0%,0,0,0.7%,100.0%,8,1221,1213,0,2.0%,51.0%,36.0%,2.5%,7.3%,1.3%
SUCCESS ACAD CHARTER SCH-HARLEM 4,SUCCESS ACAD-HARLEM 4,NEW YORK,388,100.0%,100.0%,0,0,0.8%,100.0%,3,388,385,0,3.1%,50.1%,38.4%,2.9%,1.4%,4.1%
SUCCESS ACAD CHARTER SCHOOL-HARLEM 5,SUCCESS ACAD-HARLEM 5,NEW YORK,820,100.0%,100.0%,0,0,0.4%,100.0%,3,820,817,0,2.2%,61.3%,32.4%,1.5%,0.8%,1.8%
SUCCESS ACAD CHARTER SCH-HELL'S KITC,SUCCESS ACAD-HELL'S KITCHEN,NEW YORK,434,100.0%,100.0%,0,0,0.5%,100.0%,2,434,432,0,11.4%,22.9%,45.1%,16.7%,0.5%,3.4%
SUCCESS ACAD CHARTER SCH-PROSPECT,SUCCESS ACAD-PROSPECT HGTS,KINGS,610,100.0%,100.0%,0,0,0.8%,100.0%,5,610,605,0,3.7%,72.6%,18.6%,3.7%,0.8%,0.6%
SUCCESS ACAD CHARTER SCH-UNION SQUAR,SUCCESS ACAD-UNION SQUARE,NEW YORK,962,100.0%,100.0%,0,0,0.0%,100.0%,0,962,962,0,23.6%,16.1%,26.4%,28.6%,0.6%,4.7%
SUCCESS ACADEMY CS-WILLIAMSBURG,SUCCESS ACA-WILLIAMSBURG,KINGS,411,100.0%,100.0%,0,0,1.0%,100.0%,4,411,407,0,13.8%,21.3%,51.6%,5.1%,0.5%,7.7%
CHERRY LANE ELEMENTARY SCHOOL,SUFFERN,ROCKLAND,228,100.0%,100.0%,0,0,2.4%,100.0%,6,228,245,0,30.0%,10.9%,39.1%,15.7%,0.0%,4.3%
MONTEBELLO ROAD SCHOOL,SUFFERN,ROCKLAND,3984,100.0%,100.0%,0,0,1.3%,100.0%,50,3984,3934,0,34.9%,9.9%,41.2%,10.1%,0.6%,3.3%
RICHARD P CONNOR ELEMENTARY SCHOOL,SUFFERN,ROCKLAND,420,100.0%,100.0%,0,0,2.8%,100.0%,12,420,420,0,43.7%,7.4%,37.7%,6.2%,1.4%,3.6%
SLOATSBURG ELEMENTARY SCHOOL,SUFFERN,ROCKLAND,229,100.0%,100.0%,0,0,2.6%,100.0%,6,229,229,0,48.1%,6.5%,35.5%,2.8%,0.0%,7.0%
SUFFERN MIDDLE SCHOOL,SUFFERN,ROCKLAND,983,100.0%,100.0%,0,0,0.4%,100.0%,4,983,983,0,45.8%,8.7%,31.6%,8.7%,0.3%,4.9%
SUFFERN SENIOR HIGH SCHOOL,SUFFERN,ROCKLAND,1521,100.0%,100.0%,0,0,1.3%,100.0%,20,1521,1501,0,57.0%,7.6%,25.5%,6.6%,0.2%,3.1%
VIOLA ELEMENTARY SCHOOL,SUFFERN,ROCKLAND,277,100.0%,100.0%,0,0,1.4%,100.0%,4,277,273,0,46.2%,9.1%,28.0%,12.0%,0.0%,4.7%
SUMMIT ACADEMY CHARTER SCHOOL,SUMMIT ACADEMY CHARTER,KINGS,260,100.0%,96.5%,0,9,20.0%,56.5%,52,147,208,104,2.9%,38.8%,56.9%,0.7%,0.4%,0.4%
BROOKSIDE ELEMENTARY SCHOOL,SUSQUEHANNA VALLEY,BROOME,353,98.9%,100.0%,4,0,0.0%,100.0%,0,353,349,0,90.4%,2.0%,1.7%,2.3%,0.3%,3.4%
F P DONNELLY SCHOOL,SUSQUEHANNA VALLEY,BROOME,279,98.6%,100.0%,4,0,0.0%,100.0%,0,279,275,0,90.2%,0.4%,2.5%,1.8%,0.0%,5.1%
RICHARD T STANK MIDDLE SCHOOL,SUSQUEHANNA VALLEY,BROOME,326,99.1%,100.0%,3,0,0.0%,100.0%,0,326,323,0,90.7%,1.2%,2.8%,1.2%,0.0%,4.0%
SUSQUEHANNA VALLEY SENIOR HIGH SCH,SUSQUEHANNA VALLEY,BROOME,405,99.8%,100.0%,1,0,0.0%,100.0%,0,405,404,0,88.5%,2.7%,4.9%,0.7%,0.0%,3.2%
GLENDALE ELEMENTARY SCHOOL,SWEET HOME,ERIE,358,100.0%,100.0%,0,0,1.1%,100.0%,4,358,354,0,63.4%,22.1%,4.2%,3.6%,0.3%,6.4%
HERITAGE HTS ELEMENTARY SCHOOL,SWEET HOME,ERIE,335,100.0%,100.0%,0,0,1.5%,100.0%,5,335,330,0,58.3%,19.8%,6.6%,7.5%,0.3%,7.5%
MAPLEMERE ELEMENTARY SCHOOL,SWEET HOME,ERIE,444,100.0%,100.0%,0,0,0.9%,100.0%,4,444,440,0,65.2%,12.9%,2.5%,14.3%,0.2%,5.0%
SWEET HOME MIDDLE SCHOOL,SWEET HOME,ERIE,743,100.0%,100.0%,0,0,2.0%,100.0%,15,743,728,0,61.0%,20.8%,5.6%,7.9%,0.0%,4.6%
SWEET HOME SENIOR HIGH SCHOOL,SWEET HOME,ERIE,1041,100.0%,100.0%,0,0,1.2%,100.0%,13,1041,1028,0,61.3%,21.5%,6.1%,7.8%,0.0%,3.4%
WILLOW RIDGE ELEMENTARY SCHOOL,SWEET HOME,ERIE,366,100.0%,100.0%,0,0,1.1%,100.0%,4,366,362,0,59.1%,17.7%,3.8%,11.2%,0.5%,7.6%
BAYLIS ELEMENTARY SCHOOL,SYOSSET,NASSAU,410,100.0%,100.0%,0,0,0.0%,100.0%,0,410,410,0,54.1%,0.0%,2.9%,40.9%,0.0%,2.2%
BERRY HILL ELEMENTARY SCHOOL,SYOSSET,NASSAU,374,100.0%,100.0%,0,0,0.0%,100.0%,0,374,374,0,63.2%,0.5%,4.7%,26.9%,0.0%,4.7%
H B THOMPSON MIDDLE SCHOOL,SYOSSET,NASSAU,905,100.0%,100.0%,0,0,0.0%,100.0%,0,905,905,0,47.3%,0.7%,4.8%,45.6%,0.1%,1.6%
ROBBINS LANE ELEMENTARY SCHOOL,SYOSSET,NASSAU,446,100.0%,100.0%,0,0,0.0%,100.0%,0,446,446,0,35.7%,0.0%,5.4%,56.0%,0.2%,2.7%
SOUTH GROVE ELEMENTARY SCHOOL,SYOSSET,NASSAU,395,100.0%,100.0%,0,0,0.0%,100.0%,0,395,395,0,26.8%,0.5%,7.0%,61.9%,0.3%,3.5%
SOUTH WOODS MIDDLE SCHOOL,SYOSSET,NASSAU,739,100.0%,100.0%,0,0,0.0%,100.0%,0,739,739,0,51.5%,0.4%,5.3%,40.5%,0.0%,2.3%
SYOSSET SENIOR HIGH SCHOOL,SYOSSET,NASSAU,2225,100.0%,100.0%,0,0,0.0%,100.0%,0,2225,2225,0,54.7%,0.7%,4.8%,38.4%,0.2%,1.3%
VILLAGE ELEMENTARY SCHOOL,SYOSSET,NASSAU,404,100.0%,100.0%,0,0,0.0%,100.0%,0,404,404,0,43.4%,0.5%,5.9%,44.9%,0.0%,5.4%
WALT WHITMAN ELEMENTARY SCHOOL,SYOSSET,NASSAU,327,100.0%,100.0%,0,0,0.0%,100.0%,0,327,327,0,67.8%,0.9%,2.8%,26.3%,0.0%,2.2%
WILLITS ELEMENTARY SCHOOL,SYOSSET,NASSAU,297,100.0%,100.0%,0,0,0.0%,100.0%,0,297,297,0,50.0%,0.3%,5.3%,43.0%,0.0%,1.3%
BELLEVUE ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,368,81.3%,80.7%,69,71,10.3%,67.1%,38,247,261,50,18.6%,48.9%,18.3%,0.8%,0.8%,12.6%
BRIGHTON ACADEMY,SYRACUSE,ONONDAGA,384,84.4%,87.5%,60,48,11.7%,77.3%,45,297,279,39,7.9%,75.6%,10.2%,0.5%,0.3%,5.5%
CLARY MIDDLE SCHOOL,SYRACUSE,ONONDAGA,352,83.2%,88.9%,59,39,13.9%,71.6%,49,252,244,61,15.0%,63.7%,9.2%,2.0%,2.6%,7.5%
CORCORAN HIGH SCHOOL,SYRACUSE,ONONDAGA,1207,72.2%,82.4%,336,213,7.5%,61.7%,90,745,781,249,20.2%,58.1%,13.3%,2.1%,1.3%,5.0%
DELAWARE PRIMARY SCHOOL,SYRACUSE,ONONDAGA,532,52.1%,89.3%,255,57,6.0%,80.8%,32,430,245,45,12.2%,35.7%,42.1%,0.2%,0.2%,9.7%
DR WEEKS ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,742,91.4%,92.5%,64,56,13.7%,81.0%,102,601,576,85,19.8%,47.0%,13.3%,9.6%,0.8%,9.5%
EDWARD SMITH K-8 SCHOOL,SYRACUSE,ONONDAGA,692,88.7%,89.9%,78,70,5.8%,48.3%,40,334,574,288,35.9%,44.4%,7.3%,3.8%,0.4%,8.2%
EXPEDITIONARY LEARNING MIDDLE SCH,SYRACUSE,ONONDAGA,179,86.6%,92.2%,24,14,7.8%,59.2%,14,106,141,59,33.5%,34.1%,14.5%,3.9%,1.1%,12.8%
FRANKLIN ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,753,83.0%,87.1%,128,97,9.2%,71.4%,69,538,556,118,16.4%,35.9%,6.7%,32.4%,0.7%,7.9%
FRAZER K-8 SCHOOL,SYRACUSE,ONONDAGA,849,83.0%,89.8%,144,87,9.3%,78.2%,79,664,626,98,26.0%,37.9%,17.3%,7.0%,1.3%,10.4%
GRANT MIDDLE SCHOOL,SYRACUSE,ONONDAGA,724,81.6%,78.3%,133,157,5.1%,56.6%,37,410,554,157,22.6%,36.1%,11.9%,17.0%,1.5%,10.8%
HENNINGER HIGH SCHOOL,SYRACUSE,ONONDAGA,1715,63.5%,67.2%,626,562,5.7%,47.9%,97,822,992,331,26.4%,46.5%,12.6%,8.9%,1.3%,4.3%
HUNTINGTON K-8 SCHOOL,SYRACUSE,ONONDAGA,932,78.1%,83.7%,204,152,12.4%,66.8%,116,623,612,157,34.4%,36.3%,8.7%,7.6%,2.2%,10.9%
HURLBUT W SMITH K-8 SCHOOL,SYRACUSE,ONONDAGA,820,77.9%,82.9%,181,140,12.2%,60.7%,100,498,539,182,16.6%,62.5%,7.7%,6.4%,0.6%,6.2%
INSTITUTE OF TECH AT SYRACUSE CENTRA,SYRACUSE,ONONDAGA,565,54.7%,72.4%,256,156,4.1%,45.1%,23,255,286,154,19.3%,52.4%,15.0%,9.6%,0.5%,3.1%
LEMOYNE ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,398,81.4%,88.9%,74,44,12.1%,60.6%,48,241,276,113,31.8%,35.7%,12.4%,10.6%,1.0%,8.5%
LINCOLN MIDDLE SCHOOL,SYRACUSE,ONONDAGA,542,81.0%,81.5%,103,100,17.5%,67.2%,95,364,344,78,22.0%,45.8%,12.8%,9.7%,1.1%,8.6%
MCKINLEY-BRIGHTON ELEMENTARY,SYRACUSE,ONONDAGA,483,66.0%,77.8%,164,107,10.1%,68.7%,49,332,270,44,10.4%,67.8%,9.4%,2.1%,0.4%,9.8%
MEACHEM ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,315,67.9%,89.5%,101,33,8.9%,76.8%,28,242,186,40,16.7%,63.0%,7.4%,0.0%,0.6%,12.2%
NOTTINGHAM HIGH SCHOOL,SYRACUSE,ONONDAGA,1252,60.7%,66.1%,492,424,2.4%,46.7%,30,585,730,243,21.2%,56.4%,11.5%,8.5%,0.4%,2.0%
PORTER ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,346,81.2%,85.8%,65,49,6.1%,70.8%,21,245,260,52,29.3%,37.8%,14.7%,3.5%,2.1%,12.6%
PUBLIC SERVICE LEADERSHIP ACA-FOWLER,SYRACUSE,ONONDAGA,1024,70.2%,74.3%,305,263,3.5%,56.1%,36,574,683,187,21.4%,49.3%,16.5%,7.0%,1.5%,4.3%
ROBERTS K-8 SCHOOL,SYRACUSE,ONONDAGA,608,87.7%,84.4%,75,95,6.4%,61.2%,39,372,494,141,18.6%,57.0%,12.3%,1.0%,1.8%,9.3%
SALEM HYDE ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,532,89.8%,88.3%,54,62,7.0%,56.8%,37,302,441,168,31.3%,37.5%,10.8%,7.8%,1.5%,11.2%
SEYMOUR DUAL LANGUAGE ACADEMY,SYRACUSE,ONONDAGA,510,75.3%,75.7%,126,124,9.0%,65.9%,46,336,338,50,6.7%,30.1%,56.6%,0.0%,0.4%,6.1%
STEAM AT DR KING ELEMENTARY,SYRACUSE,ONONDAGA,471,72.6%,84.1%,129,75,6.8%,79.0%,32,372,310,24,3.9%,77.0%,11.2%,1.1%,0.7%,6.1%
SYRACUSE LATIN SCHOOL,SYRACUSE,ONONDAGA,651,92.6%,91.7%,48,54,6.5%,43.0%,42,280,561,317,37.5%,39.5%,9.3%,3.7%,0.5%,9.6%
SYRACUSE STEM AT BLODGETT,SYRACUSE,ONONDAGA,403,77.9%,87.6%,89,50,13.4%,72.0%,54,290,260,63,7.1%,38.7%,45.1%,0.3%,0.3%,8.6%
VAN DUYN ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,432,71.1%,82.4%,125,76,5.3%,65.7%,23,284,284,72,7.7%,70.0%,7.0%,0.5%,2.8%,12.1%
WEBSTER ELEMENTARY SCHOOL,SYRACUSE,ONONDAGA,646,81.9%,89.8%,117,66,7.1%,68.9%,46,445,483,135,31.2%,35.2%,10.7%,13.1%,1.3%,8.5%
SYRACUSE ACADEMY OF SCI-CITIZENSHIP,SYRACUSE ACADEMY OF SCI-CITI,ONONDAGA,443,98.9%,100.0%,5,0,0.0%,74.5%,0,330,435,113,9.2%,57.2%,14.3%,10.1%,0.2%,9.0%
SYRACUSE ACAD-SCI CHARTER SCH,SYRACUSE ACAD-SCI CHARTER SC,ONONDAGA,1000,94.5%,99.0%,55,10,0.0%,54.7%,0,547,945,443,18.4%,63.7%,11.3%,3.8%,1.3%,1.4%
TACONIC HILLS ELEMENTARY SCHOOL,TACONIC HILLS,COLUMBIA,609,86.9%,100.0%,80,0,2.0%,98.9%,12,602,517,7,77.8%,2.7%,11.3%,0.3%,0.0%,8.0%
TACONIC HILLS JUNIOR/SENIOR HIGH,TACONIC HILLS,COLUMBIA,590,86.8%,100.0%,78,0,2.0%,100.0%,12,590,500,0,79.4%,2.2%,12.6%,0.5%,0.5%,4.8%
TAPESTRY CHARTER SCHOOL,TAPESTRY CHARTER SCHOOL,ERIE,1080,100.0%,97.0%,0,32,1.9%,64.9%,20,704,1060,348,21.6%,54.1%,14.2%,2.3%,0.4%,7.4%
JOHN PAULDING SCHOOL,TARRYTOWN,WESTCHESTER,294,100.0%,100.0%,0,0,2.4%,100.0%,7,294,287,0,35.9%,1.1%,53.3%,3.8%,0.0%,6.0%
SLEEPY HOLLOW HIGH SCHOOL,TARRYTOWN,WESTCHESTER,871,100.0%,100.0%,0,0,3.3%,76.9%,29,670,842,201,31.1%,3.5%,60.1%,2.5%,0.0%,2.8%
SLEEPY HOLLOW MIDDLE SCHOOL,TARRYTOWN,WESTCHESTER,608,100.0%,100.0%,0,0,3.8%,92.8%,23,564,585,44,28.6%,2.0%,63.5%,3.0%,0.0%,2.9%
W L MORSE SCHOOL,TARRYTOWN,WESTCHESTER,369,100.0%,100.0%,0,0,3.5%,97.6%,13,360,356,9,30.2%,1.6%,58.2%,3.2%,0.0%,6.7%
WASHINGTON IRVING INTERM SCHOOL,TARRYTOWN,WESTCHESTER,609,100.0%,100.0%,0,0,3.4%,95.4%,21,581,588,28,29.0%,2.3%,62.2%,3.2%,0.0%,3.2%
CAPE VINCENT ELEMENTARY SCHOOL,THOUSAND ISLANDS,JEFFERSON,103,0.0%,100.0%,17,0,0.0%,100.0%,0,103,0,0,94.3%,1.0%,4.8%,0.0%,0.0%,0.0%
GUARDINO ELEMENTARY SCHOOL,THOUSAND ISLANDS,JEFFERSON,229,79.5%,100.0%,47,0,0.0%,100.0%,0,229,182,0,93.4%,0.4%,1.7%,0.4%,0.0%,3.9%
THOUSAND ISLANDS HIGH SCHOOL,THOUSAND ISLANDS,JEFFERSON,244,97.1%,100.0%,7,0,0.0%,100.0%,0,244,237,0,90.2%,2.0%,3.7%,0.0%,0.8%,3.3%
THOUSAND ISLANDS MIDDLE SCHOOL,THOUSAND ISLANDS,JEFFERSON,209,97.0%,100.0%,6,0,0.0%,100.0%,0,209,197,0,90.0%,0.5%,2.9%,0.5%,1.0%,5.3%
ARROWHEAD ELEMENTARY SCHOOL,THREE VILLAGE,SUFFOLK,577,100.0%,100.0%,0,0,0.0%,100.0%,0,577,577,0,66.4%,2.4%,13.3%,14.0%,0.0%,3.8%
MINNESAUKE ELEMENTARY SCHOOL,THREE VILLAGE,SUFFOLK,559,100.0%,100.0%,0,0,0.4%,100.0%,2,559,557,0,78.0%,0.7%,9.3%,6.3%,0.0%,5.7%
NASSAKEAG ELEMENTARY SCHOOL,THREE VILLAGE,SUFFOLK,461,100.0%,100.0%,0,0,0.0%,100.0%,0,461,461,0,62.2%,2.2%,8.4%,24.7%,0.0%,2.4%
PAUL J GELINAS JUNIOR HIGH SCHOOL,THREE VILLAGE,SUFFOLK,733,100.0%,100.0%,0,0,0.5%,100.0%,4,733,729,0,81.3%,1.1%,7.2%,8.5%,0.1%,1.8%
ROBERT CUSHMAN MURPHY JR HIGH SCHOOL,THREE VILLAGE,SUFFOLK,708,100.0%,100.0%,0,0,1.1%,100.0%,8,708,695,0,70.6%,2.3%,9.8%,15.3%,0.0%,2.1%
SETAUKET ELEMENTARY SCHOOL,THREE VILLAGE,SUFFOLK,561,100.0%,100.0%,0,0,0.2%,100.0%,1,561,560,0,82.4%,0.5%,6.8%,5.3%,0.2%,4.8%
WARD MELVILLE SENIOR HIGH SCHOOL,THREE VILLAGE,SUFFOLK,1569,100.0%,100.0%,0,0,0.3%,100.0%,5,1569,1564,0,81.8%,1.3%,5.3%,10.7%,0.1%,0.8%
WILLIAM SIDNEY MOUNT ELEMENTARY,THREE VILLAGE,SUFFOLK,455,100.0%,100.0%,0,0,0.2%,100.0%,1,455,454,0,65.3%,1.1%,9.7%,18.7%,0.0%,5.3%
TICONDEROGA ELEMENTARY SCHOOL,TICONDEROGA,ESSEX,357,75.0%,62.6%,89,133,0.0%,39.3%,0,140,267,83,97.8%,1.1%,0.0%,1.1%,0.0%,0.0%
TICONDEROGA JUNIOR-SENIOR HS,TICONDEROGA,ESSEX,373,86.6%,100.0%,49,0,0.0%,100.0%,0,367,318,0,97.5%,0.8%,0.0%,1.4%,0.3%,0.0%
TIOGA ELEMENTARY SCHOOL,TIOGA,TIOGA,338,100.0%,81.5%,0,78,11.2%,2.6%,38,11,300,333,97.9%,0.0%,1.5%,0.0%,0.0%,0.6%
TIOGA MIDDLE SCHOOL,TIOGA,TIOGA,286,82.5%,50.3%,51,144,0.0%,0.0%,0,0,240,146,97.3%,0.0%,1.0%,0.0%,0.0%,1.7%
TIOGA SENIOR HIGH SCHOOL,TIOGA,TIOGA,906,89.7%,100.0%,93,0,0.0%,19.1%,0,106,811,448,96.4%,0.7%,1.1%,0.7%,0.0%,1.1%
FLETCHER ELEMENTARY SCHOOL,TONAWANDA,ERIE,263,100.0%,100.0%,0,0,0.4%,100.0%,1,263,262,0,84.1%,2.3%,8.7%,0.8%,0.0%,4.2%
MULLEN ELEMENTARY SCHOOL,TONAWANDA,ERIE,234,100.0%,100.0%,0,0,0.0%,100.0%,0,234,234,0,89.3%,0.9%,2.6%,2.6%,0.0%,4.7%
RIVERVIEW ELEMENTARY SCHOOL,TONAWANDA,ERIE,280,100.0%,100.0%,0,0,0.0%,100.0%,0,280,280,0,80.9%,2.5%,7.4%,3.2%,0.0%,6.0%
TONAWANDA MIDDLE/HIGH SCHOOL,TONAWANDA,ERIE,928,100.0%,100.0%,0,0,0.4%,100.0%,4,928,924,0,84.9%,2.5%,6.2%,0.5%,0.8%,5.2%
TOWN OF WEBB SCHOOL,TOWN OF WEBB,HERKIMER,257,92.2%,95.5%,20,12,0.0%,73.6%,0,195,237,58,95.7%,1.2%,1.2%,0.8%,0.4%,0.8%
TRI-VALLEY ELEMENTARY SCHOOL,TRI VALLEY,SULLIVAN,457,98.9%,100.0%,5,0,4.0%,73.1%,18,334,429,123,74.8%,3.0%,17.0%,0.6%,0.0%,4.5%
TRI-VALLEY SECONDARY SCHOOL,TRI VALLEY,SULLIVAN,450,98.0%,100.0%,9,0,4.2%,100.0%,19,450,422,0,86.0%,2.2%,9.4%,0.4%,0.2%,1.8%
CARROLL HILL SCHOOL,TROY,RENSSELAER,397,100.0%,100.0%,0,0,4.8%,100.0%,19,397,378,0,28.5%,28.8%,23.0%,0.5%,0.0%,19.1%
PS 14,TROY,RENSSELAER,421,100.0%,100.0%,0,0,6.2%,100.0%,26,421,395,0,34.9%,27.4%,20.6%,1.6%,0.0%,15.5%
PS 16,TROY,RENSSELAER,251,100.0%,100.0%,0,0,4.4%,100.0%,11,251,240,0,43.0%,21.1%,13.1%,1.6%,0.0%,21.1%
PS 18,TROY,RENSSELAER,286,100.0%,100.0%,0,0,1.7%,100.0%,5,286,281,0,64.2%,13.7%,14.4%,2.5%,0.0%,5.3%
PS 2,TROY,RENSSELAER,314,100.0%,100.0%,0,0,5.7%,100.0%,18,314,296,0,15.1%,45.2%,22.2%,1.8%,1.1%,14.7%
TROY HIGH SCHOOL,TROY,RENSSELAER,1006,100.0%,100.0%,0,0,1.5%,100.0%,15,1006,991,0,46.2%,28.8%,15.9%,1.8%,0.5%,6.8%
TROY MIDDLE SCHOOL,TROY,RENSSELAER,856,100.0%,100.0%,0,0,3.0%,100.0%,26,856,830,0,38.1%,27.9%,21.6%,1.5%,0.2%,10.6%
TRUE NORTH ROCHESTER PREP CHARTER,TRUE NORTH ROCHESTER PREP CH,MONROE,1293,100.0%,100.0%,0,0,5.3%,76.5%,68,989,1225,304,3.4%,83.5%,10.8%,0.9%,0.4%,1.0%
TRUE NORTH ROCHESTER  PREP-WEST CAMP,TRUE NORTH ROCHESTER-WEST,MONROE,851,100.0%,100.0%,0,0,6.9%,84.8%,59,722,792,129,2.5%,76.6%,17.7%,0.6%,0.0%,2.6%
TRUE NORTH TROY PREP CHARTER SCHOOL,TRUE NORTH TROY PREP CHARTER,RENSSELAER,754,100.0%,100.0%,0,0,4.2%,100.0%,33,754,754,0,12.1%,62.8%,22.0%,0.8%,0.1%,2.1%
CHARLES O DICKERSON HIGH SCHOOL,TRUMANSBURG,TOMPKINS,971,100.0%,100.0%,0,0,1.2%,100.0%,12,971,959,0,84.2%,3.3%,5.3%,0.7%,0.0%,6.6%
RUSSELL I DOIG MIDDLE SCHOOL,TRUMANSBURG,TOMPKINS,971,100.0%,100.0%,0,0,1.2%,100.0%,12,971,959,0,84.5%,1.4%,4.3%,0.0%,0.0%,9.7%
TRUMANSBURG ELEMENTARY SCHOOL,TRUMANSBURG,TOMPKINS,971,100.0%,100.0%,0,0,1.2%,100.0%,12,971,959,0,87.4%,1.0%,3.4%,0.0%,0.3%,8.0%
TRUXTON ACADEMY CHARTER SCHOOL,TRUXTON ACADEMY CHARTER SCHO,CORTLAND,60,91.7%,53.6%,5,32,0.0%,11.6%,0,8,55,29,91.1%,0.0%,7.1%,0.0%,0.0%,1.8%
TUCKAHOE HIGH SCHOOL,TUCKAHOE,WESTCHESTER,311,100.0%,100.0%,0,0,0.0%,100.0%,0,311,311,0,61.4%,11.0%,19.3%,4.1%,0.3%,3.8%
